scen.name,model,dag_name,N,betaAY,betaCY,betaAC,betaCR,betaQA,betaQR,betaQY,method,bhat,bhat_lo,bhat_hi,bhat_width,bhat_covers,adj_form_string,unadj_form_string,pR_emp,unique.scen,BhatBias,BhatCover,BhatWidth,BhatRMSE,BhatEstFail,BhatCIFail,BhatEmpSE,pR_Emp_Mean
2,OLS,I(a)-Q,10000,1,1,1,1,1,3,1,MI-adj,1.02085826657165,0.935195259165299,1.106521273978,0.171326014812697,0.904,Y ~ A + C + Q,Y ~ A + Q,0.2025904,2 MI-adj,0.0208582665716478,0.904,0.171326014812697,0.0470028497284937,0,0,0.0421423370827988,0.2025904
2,OLS,I(a)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.812847376462507,0.707144304757843,0.91855044816717,0.211406143409327,0.079,Y ~ A + C + Q,Y ~ A + Q,0.2025904,2 MI-unadj,-0.187152623537493,0.079,0.211406143409327,0.194294833840732,0,0,0.0522216915208252,0.2025904
3,OLS,I(b),10000,1,1,1,1,1,3,1,gold-std,1.00034212896308,0.942589731046574,1.0580945268796,0.115504795833021,0.955,Y ~ A + C + Q,Y ~ A + Q,0.3184155,3 gold-std,0.000342128963084657,0.955,0.115504795833021,0.0289326546160581,0,0,0.0289451078798283,0.3184155
3,OLS,I(b),10000,1,1,1,1,1,3,1,CC-unadj,0.823852053103498,0.719361485460719,0.928342620746278,0.208981135285559,0.085,Y ~ A + C + Q,Y ~ A + Q,0.3184155,3 CC-unadj,-0.176147946896502,0.085,0.208981135285559,0.183803023323667,0,0,0.0525186671333654,0.3184155
3,OLS,I(b),10000,1,1,1,1,1,3,1,CC-adj,1.00064002807337,0.922395396116993,1.07888466002974,0.156489263912751,0.963,Y ~ A + C + Q,Y ~ A + Q,0.3184155,3 CC-adj,0.000640028073368029,0.963,0.15648926391275,0.0383279293742067,0,0,0.0383417608464228,0.3184155
3,OLS,I(b),10000,1,1,1,1,1,3,1,MI-adj,1.00648528242375,0.926177074154538,1.08679349069296,0.160616416538424,0.956,Y ~ A + C + Q,Y ~ A + Q,0.3184155,3 MI-adj,0.00648528242375051,0.956,0.160616416538424,0.0375530734007356,0,0,0.0370073503199423,0.3184155
3,OLS,I(b),10000,1,1,1,1,1,3,1,MI-unadj,0.869204690854938,0.765375642981746,0.97303373872813,0.207658095746384,0.306,Y ~ A + C + Q,Y ~ A + Q,0.3184155,3 MI-unadj,-0.130795309145062,0.306,0.207658095746384,0.140306530901181,0,0,0.0508044369123584,0.3184155
4,OLS,I(b)-Q,10000,1,1,1,1,1,3,1,gold-std,0.999882654866616,0.94218328435693,1.0575820253763,0.115398741019372,0.943,Y ~ A + C + Q,Y ~ A + Q,0.2072926,4 gold-std,-0.000117345133384341,0.943,0.115398741019372,0.0301840600681475,0,0,0.0301989352131033,0.2072926
4,OLS,I(b)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.823217568952171,0.688547099886579,0.957888038017763,0.269340938131183,0.268,Y ~ A + C + Q,Y ~ A + Q,0.2072926,4 CC-unadj,-0.176782431047829,0.268,0.269340938131183,0.189591639754707,0,0,0.0685394747375236,0.2072926
4,OLS,I(b)-Q,10000,1,1,1,1,1,3,1,CC-adj,0.998727316893316,0.897866026191705,1.09958860759493,0.201722581403222,0.96,Y ~ A + C + Q,Y ~ A + Q,0.2072926,4 CC-adj,-0.00127268310668407,0.96,0.201722581403222,0.0505522457719956,0,0,0.0505615100308407,0.2072926
